,Cod. Fornecedor,Cod. Prod,Nome,Margem,Quant. Frac,Pr. Venda
0,f07896423419283,f3056,CHOC MMS MINI TUBO 12X30G MMS,50,12,3.99
1,f07896423469837,f3680,CHOC MMS AMENDOIM 18X45G,50,18,4.2
2,f07896423401103,f72650,CHOC MMS CRISPY 18X35G,50,18,4.2
3,f02800003939783,f72213,ACUCAR CRISTAL CARAVELAS 10X1KG,50,10,5.99
4,f02800001687273,f7647,AGUA DE COCO KEROCOCO 27X200 ML,50,27,2.99
5,f07891024039854,f6816,CR DENT SORRISO LIMPEZA COMPL L12P9 70G,50,9,2.99
6,f02800039472803,f1636,AMAC ROUPA CONC DOWNY BRISA VERAO 12X500,50,12,11.99
7,f02800039638308,f1384,FILTRO PAPEL 3CORACOES 103 C/30 40X1,50,40,4.5
8,f00120514,f4159,"099 AGUA DE COCO.TP.CX.SOCOCO.......24X200ML %AGR:  00,0000 BASE ST: *********33,50 VALOR ST: **********6,03",50,24,2.99
9,f00102305,f2553,001 FLOCOCO.UN.SOCOCO................01X100G SOCOCO,50,1,7.99
10,f00102251,f544,001 COCO RALADO.UN.SOCOCO.............01X50G SOCOCO,50,1,3.50
11,f00605507,f0812211,"099 MULTI USO.UN.UAU FLORAL..........1X500ML %AGR:  00,0000 BASE ST: **********5,43 VALOR ST: **********0,98",50,1,4.99
12,f00605394,f0812212,"099 MULTI USO.UN.UAU.ROSAS.E.SEDUC...1X500ML %AGR:  00,0000 BASE ST: **********5,43 VALOR ST: **********0,98",50,1,4.99
13,f00605436,f0812213,"099 LIMP.PESADA.UN.PER ROS E SEDUC...1X500ML %AGR:  00,0000 BASE ST: **********7,14 VALOR ST: **********1,29",50,1,6.20
14,f00605057,f5495,"099 PERFUME.UN.UAU LAVANDA E CONFOR..1X500ML %AGR:  00,0000 BASE ST: **********7,52 VALOR ST: **********1,35",50,1,4.99
