,Cod. Fornecedor,Cod. Prod,Nome,Margem,Quant. Frac,Pr. Venda
0,f12070,f2623,AJAX FRESH LIMP PESADA 500ML*,50,1,8.99
1,f100507,f1436,AJI-SAL CHURRASCO 500G (24),50,1,8.2
2,f80054,f1612212,DOCIGOMA MINI EUCALIPTO 60G,50,1,1.99
3,f1037131,f4503,MID REFRESCO ABACAXI 15X20G (8),50,15,1.2
4,f1037151,f4374,MID REFRESCO CAJU 15X20G,50,15,1.2
5,f1037161,f5114,MID REFRESCO GOIABA 15X20G (8),50,15,1.2
6,f1037181,f5214,MID REFRESCO GRAVIOLA 15X20G (8),50,15,1.2
7,f1037191,f6145,MID REFRESCO GROSELHA 15X20G (8),50,15,1.2
8,f1037231,f7243,MID REFRESCO GUARANA 15X20G (8),50,15,1.2
9,f1037241,f5213,MID REFRESCO JABUTICABA 15X20G (8),50,15,1.2
10,f1037251,f4504,MID REFRESCO LARANJA 15X20G (8),50,15,1.2
11,f1037351,f6144,MID REFRESCO LIMONADA SUICA 15X20G (8),50,15,1.2
12,f1037281,f5171,MID REFRESCO MANGA 15X20G (8),50,15,1.2
13,f1037311,f4693,MID REFRESCO MORANGO 15X20G (8),50,15,1.2
14,f1037331,f4501,MID REFRESCO UVA 15X20G (8),50,15,1.2
15,f101500,f274,SABOR AMI ALHO E SAL 300G (24),50,1,4.99
16,f101501,f276,SABOR AMI S/PIMENTA 300G (24),50,1,4.99
17,f102002,f1435,SAZON VERMELHO 60G P/CARNES (48),50,1,5.2
18,f1050921,f3239,SOPA VONO BATATA C/CARNE DESFIADA 23X18G (4),50,23,2.99
19,f1050891,f3748,SOPA VONO MANDIOQUINHA C/CEBOLA E SALSA 23X17G (4),50,23,2.99
20,f1050931,f4115,SOPA VONO MILHO C/FRANGO 23X18G (4),50,23,2.99
21,f12090,f3018,AJAX FRESH LIMP PESADA BLUE 500ML,50,1,8.99
22,f12080,f4952,AJAX FRESH LIMP PESADA LEMON 500ML*,50,1,8.99
23,f13290,f353,CD COLG MPA 50G,50,1,2.99
24,f02438,f6806,ESC DT COLG ESSENCIAL CLEAN MC,50,1,4.2
25,f1037141,f5101,MID REFRESCO BAUNILHA COM LIMAO 15X20G (8),50,15,1.2
26,f1037341,f4375,MID REFRESCO LARANJA DOCE 15X20G (8),50,15,1.2
27,f1037271,f4500,MID REFRESCO LIMAO 15X20G (8),50,15,1.2
28,f1037291,f4502,MID REFRESCO MARACUJA 15X20G,50,15,1.2
29,f1037301,f5157,MID REFRESCO MELANCIA 15X20G (8),50,15,1.2
30,f19300,f4188,PINHO SOL LIQ LAVANDA 500ML,50,1,6.2
31,f101502,f280,SABOR AMI C/PIMENTA 300G (24),50,1,4.99
32,f102003,f2035,SAZON AMARELO 60G P/LEGUMES (48),50,1,5.2
33,f102004,f2036,SAZON LARANJA 60G P/MASSAS (48),50,1,5.2
34,f102071,f4377,SAZON TOQUE DE LIMAO 60G P/AVES/PEIXES/SUINA (48),50,1,5.2
35,f102001,f2900,SAZON VERDE 60G P/FRANGO (48),50,1,5.2
36,f2501,f5148,CD COLG TOT12 CLEAN MINT L12P10 90G,50,12,8.99
37,f05212,f036699,DAKI AMENDOIM BRANCO PCT 400G (12),50,1,6.99
38,f1037321,f4692,MID REFRESCO TANGERINA 15X20G,50,15,1.20
39,f102070,f5603,SAZON TOQUE DE ALHO 60G P/CARNES (48),50,1,4.99
