,Cod. Fornecedor,Cod. Prod,Nome,Margem,Quant. Frac,Pr. Venda
0,f326118,f2360,STEAK FGO EMP CONG IWP 100G PD,50,36,3.5
1,f605794,f883,HBV020 HAMBURGUER AVEBOV PERD,50,36,1.99
2,f475805,f7806,LASANHA BOLONHESA SADIA 600G,50,6,16.5
3,f475806,f2701221,LASANHA CALABRESA SADIA 600G,50,6,10.5
4,f339657,f7854,STEAK FGO EMP CONG IWP 100G SD,50,45,2.99
5,f239706,f0009,MORTADELA DEFUMADA OURO PERDIGAO,84,8,37.2
6,f499913,f2707214,LASANHA TIPO CALAB PD 600G CX3.6KG,50,6,13.2
7,f459183,f5187,LASANHA BOLONHESA 600G PERDIGAO,50,6,13.2
8,f569579,f72346,"LASANHA DE FRANGO CONGELADA CX 3,6KG PD",50,6,13.2
9,f734737,f2403221,MARGARINA BECEL MANT COM SAL PT 250G,40,24,4.99
10,f459314,f2313,LASANHA 4 QUEIJOS SADIA 600G,50,6,15.99
11,f475841,f00222,LASANHA PRESUNTO E QJO AO SUGO 600G SD,50,6,15.99
12,f731321,f3003226,MARGARINA BECEL ORIG COM SAL PT 500G,50,12,6.99
13,f500728,f3137,MARGARINA VEG.CREM.SSAL QUALY 250G,50,24,7.2
14,f500731,f1182,MARGARINA VEG.CREM.CSAL QUALY 250G,50,24,7.2
15,f500732,f2059,MARGARINA VEG.CREM.CSAL QUALY 500G,50,12,12.2
16,f514675,f1003,CARRE SUI CONG SADIA IWP CX 20KG,70,20,22.2
17,f210395,f2345,"PATE DE PRESUNTO RESFRIADO SADIA 2,5KG",50,25,4.2
18,f959116,f2934,CNE500 CLAYBOM MARG POTE 12X500G,50,12,8.99
19,f220981,f1028,SHG420 SALSICHA HOT DOG PT 5KG PERDIGAO,35,20,15.2
20,f210441,f2619,PATE DE PEITO DE PERU DEFUMADO SADIA,50,25,4.5
21,f581760,f310222,PATINHO SUINO CONG IWP CX12KG SADIA,50,12,16.99
22,f126849,f1039,LING CARNE SUINA CONG PT 5KG PERDIGAO,50,20,21.2
23,f824346,f1007,COF016 CORACAO FGO 1KG PERDIGAO,50,16,25.99
24,f500729,f1181,MARGARINA VEG.CREM.SSAL QUALY 500G,50,12,11.99
25,f499150,f2731,SALAME FATIADO PERDIGAO PT 100G CX 3KG,50,30,14.99
26,f651058,f2465,HBR003 HAMBURGUER AVESBOVINO SUAVE INST,50,36,2.99
27,f662783,f2403238,MORTADELA OURO ERVAS FINAS ATM FAT PT 20,50,20,9.20
28,f500744,f1033,BACON INTEIRO SADIA CX 10KG,60,10,31.99
29,f500744,f1033,BACON INTEIRO SADIA CX 10KG,60,10,31.99
