,Cod. Fornecedor,Cod. Prod,Nome,Margem,Quant. Frac,Pr. Venda
0,f121286,f3510,LIMPADOR CONC.COALA CITRONELA,50,1.0,13.99
1,f3217,f1347,SACO LIXO LIMPS 100L,50,1.0,2.99
2,f1709,f85,BISC.CRACKER AGUIA SALT,50,1.0,5.5
3,f1523,f2215,GOIABADA DIVINA MESA BLOCO,50,1.0,3.99
4,f65124,f164023,NOZES S/CASCA INTEIRAS JANDIRA,50,1.0,13.99
5,f3215,f4372,SACO LIXO LIMPS 30L,50,1.0,2.99
6,f119049,f550,AROMA ARTIF.BAUNILHA CEPERA,50,1.0,7.5
7,f50741,f3193,PALHA P/CIG.ESP.PRINCESA,50,1.0,2.99
8,f2340,f6818,SACO ALG.ALVEJADO LAVADO LIMPS 40X65CM,50,1.0,10.99
9,f118032,f5810,P.H.CLASSY DOUBLE FOLHA DUPLA NT.(16X4),50,1.0,7.99
10,f119803,f155823,P.H.CLASSY DOUBLE FOLHA DUPLA NT.LV+ PG-,50,1.0,21.20
11,f116846,f335,ESPONJA P/L ESFREBOM L12P10,50,1.0,1.99
12,f713,f2709,VINAGRE DIVINA MESA DE ALCOOL,50,1.0,2.5
13,f40223,f5773,CERA LIQ.BRILHO FACIL AMARELA,50,1.0,12.99
14,f119011,f9013,PANETONE DIVINA MESA TRUFADO CHOC.,50,1.0,20.99
15,f111236,f2085,PANETONE DIVINA MESA CHOCOLATE,50,1.0,12.99
16,f2508,f2084,PANETONE DIVINA MESA FRUTAS,50,1.0,12.99
17,f119382,f1212211,LAMP.FOXLUX LED 9W 6500K CERTIF.BIV.,50,1.0,8.99
18,f119383,f1212212,LAMP.FOXLUX LED 12W 6500K CERTIF.BIV.,50,1.0,14.2
19,f119391,f4702,LAMP.EMPALUX HALOG.CLASSICA 100WX127V,50,1.0,6.99
20,f115630,f396541,BOLO D.BENTA CHOCOLATE,50,1.0,8.2
21,f121243,f161523,PEPINO TAUA SUAVE (HEMMER),50,1.0,11.99
22,f118585,f159846,TORRADA ISABELA TRAD.,50,1.0,4.5
23,f121289,f698412,LIMPADOR CONC.COALA FLORAL,50,1.0,13.5
