,Cod. Fornecedor,Cod. Prod,Nome,Margem,Quant. Frac,Pr. Venda
0,f005762,f72378,PAO INTEGRAL 400G - BAUDUCCO,50,1,10.5
1,f005767,f2209228,BARRINHA GOIABA 600G ( 20 x 30 G ) - BAUDUCCO,50,20,1.99
2,f005768,f2209227,BARRINHA CHOCOLATE 500G ( 20 x 25 G ) - BAUDUCCO,50,20,1.99
3,f010301,f2209226,"MUMU KIDS CHOCOLATE 374G ( 24 X 15,6G ) - NEUGEBAUER",50,24,1.2
4,f010302,f2209225,"MUMU KIDS BAUNILHA 374G ( 24 X 15,6G ) - NEUGEBAUER",50,24,1.2
5,f800381,f5802,QJ. RALADO PARMISSIMO 50G - PARMISSIMO,50,1,6.99
6,f005769,f2608223,BOLINHO CHOCOLATE C/ BAUNILHA 640G ( 16 x 40 G ) - BAUDUCCO,50,16,2.2
7,f005770,f5269,BOLINHO BAUNILHA C / CHOCOLATE 640G ( 16 x 40 G ) - BAUDUCC,50,16,2.2
8,f005771,f181223,BOLINHO DUPLO CHOCOLATE 640G ( 16 x 40 G ) - BAUDUCCO,50,16,2.2
9,f005773,f2510221,BOLINHO LARANJA 640G ( 16 x 40 G ) - BAUDUCCO,50,16,2.2
10,f000179,f1712224,REQ. CATUPIRY TRAD PCH 250G - CATUPIRY,50,1,21.99
11,f010034,f1712225,PANE FESTTONE TRUFADO PETIT GATEAU 400G - FESTTONE,50,1,22.50
12,f010300,f2209225,"MUMU KIDS BANANA 374G ( 24 X 15,6G ) - NEUGEBAUER",50,24,1.20
13,f010303,f22112210,"MUMU KIDS MORANGO 374G ( 24 X 15,6G ) - NEUGEBAUER",50,24,1.20
