,Cod. Fornecedor,Cod. Prod,Nome,Margem,Quant. Frac,Pr. Venda
0,f84145983,f102010,SEDA SH SOS CERAMIDAS 325ML UNICA 325ML.,50,1,10.99
1,f84145907,f7714,SEDA CO SOS CERAMIDAS 325ML 325ML.,50,1,14.5
2,f68602922,f1502221,CREME DE PENTEAR SEDA COLAGENO E VITAMINA C 12X300ML U.,50,1,12.99
3,f84156963,f253987,SUAVE CO BABOSA E PEPINO 325ML.,50,1,10.5
4,f67318830,f7117,HELLMANNS MAI DP 400G.,50,1,10.99
5,f67878720,f1702221,BRILHANTE DT LIQ HIGI TOT 900ML NE U.,50,1,11.99
6,f947272,f3860,TEMPERO  P/ ASSADOS KNORR 25G M CARNE/CASEIRA.,50,1,5.2
7,f84145996,f101304,SEDA SH PRETOS LUMINOSOS 325ML 325ML.,50,1,13.20
8,f84145994,f153323,SEDA SH LISO EXTREMO 325ML 325ML.,50,1,10.5
9,f84145958,f5911,SEDA CO PRETOS LUMINOSOS 325ML 325ML.,50,1,14.5
10,f84145946,f7813,SEDA CO LISO EXTREMO 325ML 325ML.,50,1,13.5
11,f84164504,f2594,COMFORT AMAC CONC ORIGINAL 500ML.,50,1,12.99
12,f84172469,f7724,HELLMANNS MAI DOYP 200G.,50,1,6.99
13,f84172474,f129,HELLMANNS MAI REG PET 500G.,50,1,13.2
14,f67884135,f4131,BRILHANTE SN PO LIM T CT 800G.,50,1,11.5
15,f955309,f3539,CIF CREMOSO LIMP PROF LIMAO 250ML 250ML.,50,1,9.2
16,f84139831,f5757,CIF CR LARANJA 250ML 250ML.,50,1,9.2
17,f84156944,f9936,SUAVE SH OLEO COCO E ABACATE 325ML 325ML.,50,1,8.99
18,f84145995,f7771,SEDA SH LISO PERFEITO 325ML 325ML.,50,1,10.99
19,f67444314,f2904221,LUX SAB LIQ BUQUE DE JASMIM 200ML.,50,1,6.5
20,f67893193,f2904222,REXONA SAB ANT LIMP PROF 84G U.,50,1,3.5
