,Cod. Fornecedor,Cod. Prod,Nome,Margem,Quant. Frac,Pr. Venda
0,f1415,f1508222,BALA GELATINA GO JELLY MINI AMORA 15G C/12,50,12,0.99
1,f1416,f1508223,BALA GELATINA GO JELLY MINI BANANA 15G C/12,50,12,0.99
2,f1417,f1508224,BALA GELATINA GO JELLY MINI BEIJINHO DOCE 15G C/12,50,12,0.99
3,f1418,f1508225,BALA GELATINA GO JELLY MINI DENTADURA 15G C/12,50,12,0.99
4,f216,f72251,PILHA DURACELL PALITO AAA C/2,50,1,9.5
5,f211,f3425,PILHA DURACELL PEQUENA AA C/2,50,1,9.5
6,f1852,fgenerico,CHICLE BUZZY TATTOO TRIBAL CAPS TUTTI FRUTTI 360G,50,1,11.2
7,f565,fgenerico,CHICLE BUZZY TATTOO TRIBAL UVA C/100,50,1,11.2
8,f102,f1407228,FITA CREPE ADERE 48MM X 50M C/2,50,1,14.2
9,f96,f3997,FITA ISOLANTE ADERE 19MM X 5M C/6,50,1,2.99
10,f94,f343,FITA VEDA ROSCA ADERE 12MM X 10M,50,1,4.5
11,f24,f1609221,LAMPADA TASCHIBRA LED TKL 60 / 9W 6500K,50,1,8.99
12,f1069,f1409223,LAMPADA TASCHIBRA LED TKL 80 / 12W 6500K,50,1,14.2
13,f871,f1609222,PASTA DE AMENDOIM POWER ONE CHOCOLATE/AVELA 1005G,50,1,38.99
14,f1007,f1011221,BALA GELATINA GO JELLY HELLO KITTY 70G,50,1,4.50
15,f1010,f1011222,BALA GELATINA GO JELLY LUCCAS NETO 70G,50,1,4.50
