,Cod. Fornecedor,Cod. Prod,Nome,Margem,Quant. Frac,Pr. Venda
0,f121503,f72552,BISC.WAFER ISABELA LIMAO,50,1,2.99
1,f122314,f0355456,BISC.TORTINHAS TRUFA,50,1,3.2
2,f123520,f2112218,BISC.TORTINHAS DOCE DE LEITE MU-MU,50,1,3.2
3,f122312,f3832,BISC.TORTINHAS TORTA DE LIMAO,50,1,3.2
4,f118586,f72271,TORRADA ISABELA INTEGRAL,50,1,4.2
5,f122309,f23656,BISC.TORTINHAS CHOCOLATE,50,1,3.2
6,f122311,f89872,BISC.TORTINHAS MORANGO,50,1,2.99
7,f121502,f72549,BISC.WAFER ISABELA CHOCOLATE BRANCO,50,1,2.99
8,f121501,f72550,BISC.WAFER ISABELA CHOCOLATE SUICO,50,1,2.99
9,f123518,f0702221,BISC.WAFER ISABELA DOCE DE LEITE MU-MU,50,1,2.99
10,f121500,f72553,BISC.WAFER ISABELA MORANGO,50,1,2.99
11,f123225,f99117,EXT.T.ELEFANTE POTE,50,1,6.2
12,f116339,f2072,CAFE 3 CORACOES TRAD.VACUO,30,1,10.99
13,f121499,f23656,BISC.WAFER ISABELA CHOCOLATE,50,1,2.99
14,f122310,f1603221,BISC.TORTINHAS CHOCOLATE E AVELA,50,1,3.2
15,f122308,f72635,BISC.TORTINHAS CHOCOLATE BRANCO,50,1,3.2
16,f118588,f7086,TORRADA ISABELA MULTIGRAOS,50,1,3.99
17,f31038,f2092,EXT.T.ELEFANTE 130GR,50,1,3.2
18,f6694,f105,MAIONESE LIZA TRAD.SH.(95880),50,1,3.5
19,f123498,f1407221,PALMITO MESA D'ORO PUPUNHA INTEIRO,50,1,16.5
20,f974,f8022,LIMPADOR PERF.CASA&PF.AGRADABLE (AZUL),50,1,5.5
21,f119411,f6019,EXT.T.ELEFANTE GTS.35GR.,50,1,5.99
22,f121802,f72840,BISC.PIRAQUE GOIABINHA,50,1,3.99
23,f122313,f023699,BISC.TORTINHAS CHOCOLATE SUICO,50,1,2.99
24,f122315,f0709221,BISC.TORTINHAS DUE CHEESE CAKE C\GOIABA,50,1,3.2
25,f122317,f0709223,BISC.TORTINHAS DUE CHOC.BCO\GEL.FRUT.VER,50,1,3.2
26,f122316,f0709222,BISC.TORTINHAS DUE TRUFA\GELEIA MORANGO,50,1,3.2
27,f122305,f0709224,MASSA INST.ISABELA CARNE,50,1,1.5
28,f122306,f0709225,MASSA INST.ISABELA GALINHA,50,1,1.5
29,f122307,f72933,MASSA INST.ISABELA GALINHA CAIPIRA,50,1,1.5
30,f124001,f2309221,MOLHO DE T.POMAROLA TRAD.SACHET,50,1,3.5
31,f116797,f2309222,MASSA ISABELA GRAVATINHA C/OVOS,50,1,5.2
32,f118585,f159846,TORRADA ISABELA TRAD.,50,1,4.2
33,f123499,f2110221,PALMITO MESA D'ORO PUPUNHA PICADO,50,1,9.99
34,f123500,f2110222,PALMITO MESA D'ORO PUPUNHA RODELAS,50,1,10.99
35,f6692,f7298,MAIONESE LIZA TRAD.PET,50,1,7.5
36,f121805,f015466,BISC.PIRAQUE LEITE MALTADO,50,1,4.99
37,f119293,f2311225,AZEITE OLIV.BORGES EXT.VIRGEM VD.,50,1,19.5
38,f60879,f08306,AZEITE COMP.MARIA TRAD.LT. (93623),50,1,11.99
39,f124075,f2511221,BOLACHAO DE MEL MESA D'ORO C/CALDA,50,1,6.99
