,Cod. Fornecedor,Cod. Prod,Nome,Margem,Quant. Frac,Pr. Venda
0,f229,f2002221,PRESERVATIVO SEX FREE ACAI C/03,50,1,2.99
1,f230,f2002222,PRESERVATIVO SEX FREE CHOCOLATE C/03,50,1,2.99
2,f227,f2002223,PRESERVATIVO SEX FREE MENTA C/03,50,1,2.99
3,f225,f6542,PRESERVATIVO SEX FREE MORANGO C/03,50,1,2.99
4,f226,f4213,PRESERVATIVO SEX FREE TUTTI-FRUTTI C/03,50,1,2.99
5,f444,f2203232,COLA ALMASUPER FLEXIVEL AEP60 20GR C/01,50,1,10.20
6,f349,f2303233,COLA ALMASUPER GEL AE11500 20GR C/01,50,1,10.20
7,f135,f9199,LAMINA DE BARBEAR WILKINSON 20X3,50,20,2.99
8,f110015,f2203234,SABONETE PREMISSE GUARANA E ACAI 450ML SACHE C/01,50,1,9.20
9,f110010,f2203235,SABONETE PREMISSE TANGERINA E CHA VERDE 450ML SACHE C/01,50,1,9.20
10,f50404,f2203236,VASSOURA EXTERNA P JARDIM C/01,50,1,13.20
