,Cod. Fornecedor,Cod. Prod,Nome,Margem,Quant. Frac,Pr. Venda
0,f254691,f960,ACUCAR ALTO ALEGRE REFINADO 1KG,50,1,5.99
1,f254690,f5424,ACUCAR ALTO ALEGRE REFINADO 5KG,50,1,29.99
2,f256757,f1392,OLEO SOJA LEVE PET,50,1,9.5
3,f254616,f184,TRIDENT CANELA,50,1,2.99
4,f257360,f2610227,TRIDENT FRESH CEREJA ICE,50,1,2.99
5,f261797,f1909222,TRIDENT FRESH HERBAL,50,1,2.99
6,f261885,f1908216,TRIDENT FRESH INTENSE,50,1,2.99
7,f250474,f187,TRIDENT HORTELA,50,1,2.99
8,f292944,f00072,TRIDENT MAX HORTELA,50,1,2.99
9,f263973,f7818,WAFER BIS XTRA OREO,50,1,3.99
