,Cod. Fornecedor,Cod. Prod,Nome,Margem,Quant. Frac,Pr. Venda
0,f07896423419283,f3056,CHOC MMS MINI TUBO 12X30G MMS,50,12,3.99
1,f07896423469837,f3680,CHOC MMS AMENDOIM 18X45G,50,18,4.2
2,f07896423401103,f72650,CHOC MMS CRISPY 18X35G,50,18,4.2
3,f02800003939783,f72213,ACUCAR CRISTAL CARAVELAS 10X1KG,50,10,5.99
4,f02800001687273,f7647,AGUA DE COCO KEROCOCO 27X200 ML,50,27,2.99
5,f07891024039854,f6816,CR DENT SORRISO LIMPEZA COMPL L12P9 70G,50,9,2.99
6,f02800039472803,f1636,AMAC ROUPA CONC DOWNY BRISA VERAO 12X500,50,12,11.99
7,f02800039638308,f1384,FILTRO PAPEL 3CORACOES 103 C/30 40X1,50,40,4.5
8,f00120514,f4159,"099 AGUA DE COCO.TP.CX.SOCOCO.......24X200ML %AGR:  00,0000 BASE ST: *********33,50 VALOR ST: **********6,03",50,24,2.99
9,f00102305,f2553,001 FLOCOCO.UN.SOCOCO................01X100G SOCOCO,50,1,8.99
10,f00102251,f544,001 COCO RALADO.UN.SOCOCO.............01X50G SOCOCO,50,1,4.2
11,f00605507,f0812211,"099 MULTI USO.UN.UAU FLORAL..........1X500ML %AGR:  00,0000 BASE ST: **********5,43 VALOR ST: **********0,98",50,1,4.99
12,f00605394,f0812212,"099 MULTI USO.UN.UAU.ROSAS.E.SEDUC...1X500ML %AGR:  00,0000 BASE ST: **********5,43 VALOR ST: **********0,98",50,1,4.99
13,f00605436,f0812213,"099 LIMP.PESADA.UN.PER ROS E SEDUC...1X500ML %AGR:  00,0000 BASE ST: **********7,14 VALOR ST: **********1,29",50,1,6.2
14,f00605057,f5495,"099 PERFUME.UN.UAU LAVANDA E CONFOR..1X500ML %AGR:  00,0000 BASE ST: **********7,52 VALOR ST: **********1,35",50,1,5.2
15,f00152185,f140624,000 BISC.UN.TORTUGUITA CHOC BAUNILHA..1X130G BAGLEY,50,1,2.5
16,f00152215,f140924,000 BISC.UN.TORTUGUITA MORANGO........1X130G BAGLEY,50,1,2.5
17,f00120553,f1584,"099 AGUA DE COCO.CX.MAIS COCO.........12X1LT %AGR:  00,0000 BASE ST: *********53,81 VALOR ST: **********9,69",50,12,8.99
18,f00300174,f1709,"099 SUFRESH TP CX UVA BEBIDA.........12X01LT %AGR:  00,0000 BASE ST: *********37,99 VALOR ST: **********6,08",50,12,7.5
19,f00311295,f125513,"099 BATATA PALHA.UN.EXTRA FINA........1X100G %AGR:  47,7600 BASE ST: *********49,05 VALOR ST: **********2,85",50,1,8.99
20,f00152205,f121424,000 BISC.UN.TORTUGUITA CHOCOLATE......1X130G BAGLEY,50,1,2.5
21,f00101501,f541,"099 LEITE DE COCO.VD.UN.SOCOCO......01X200ML %AGR:  00,0000 BASE ST: *********18,90 VALOR ST: **********3,40",50,1,6.99
22,f00120550,f3204,"099 AGUA DE COCO.CX.SOCOCO............12X1LT %AGR:  00,0000 BASE ST: *********65,83 VALOR ST: *********11,85",50,12,10.5
23,f00350991,f72221,"099 SUFRESH TP CX MORANGO BEBIDA.....12X01LT %AGR:  00,0000 BASE ST: *********37,99 VALOR ST: **********6,08",50,12,7.99
24,f00300999,f72276,"099 SUFRESH TP CX MARACUJA BEBIDA....12X01LT %AGR:  00,0000 BASE ST: *********37,99 VALOR ST: **********6,08",50,12,7.99
25,f00261780,f3951,000 TURRON DP.MANY................01X50X25GR ARCOR,50,50,1.2
26,f00311195,f2312211,"099 BATATA PALHA UN.TRADICIONAL.......1X105G %AGR:  47,7600 BASE ST: *********49,05 VALOR ST: **********2,85",50,1,8.99
27,f00168995,f72790,"099 TORT.DP.LEITE...................24X15.5G %AGR:  00,0000 BASE ST: *********11,50 VALOR ST: **********2,07",50,24,1.5
28,f00172005,f0311211,"099 TORT.DP.BRIGADEIRO..............24X15.5G %AGR:  00,0000 BASE ST: *********11,50 VALOR ST: **********2,07",50,24,1.5
29,f00851005,f6157,"099 6168  UN.ESC.P.UNHA................01X01 %AGR:  00,0000 BASE ST: *********10,32 VALOR ST: **********1,86",50,1,5.2
30,f00707800,f1409211,001 MILHO VERDE.CX.ETTI LATA.........24X170G CAJAMAR,50,24,2.99
31,f00017805,f141424,001 CREME CHANTILLY.UN.FLEISCH.........01X1L FLEISCHMANN,50,1,25.2
32,f00152195,f0311211,000 BISC.UN.TORTUGUITA BRIGADEIRO.....1X130G BAGLEY,50,1,2.5
33,f00010805,f3531,001 CREME CHANTILLY.UN.FLEISCH......01X200ML FLEISCHMANN,50,1,5.99
34,f00102253,f2224,001 COCO RALADO.UN.SOCOCO............01X100G SOCOCO,50,1,6.99
35,f00605051,f134405,"099 PERFUME.UN.UAU FLORES VERM SEDU..1X500ML %AGR:  00,0000 BASE ST: *********11,28 VALOR ST: **********2,03",50,1,4.99
36,f00605220,f3011,"099 PERFUME.UN.UAU REQUINTE..........1X500ML %AGR:  00,0000 BASE ST: **********7,52 VALOR ST: **********1,35",50,1,4.99
37,f00175805,f2710211,001 PILHA ALC POWER AA C4 (LR6XABL4P3)..1X04 PANASONIC,50,1,11.99
38,f00175905,f3011211,001 PILHA ALC POWER AAA C4(LR03XABL4P3).1X04 PANASONIC,50,1,13.5
39,f00001962,f3011212,001 PILHA ALC.POWER AA C2(LR6XAB 2B)....1X02 PANASONIC,50,1,7.99
40,f00311395,f1105211,"099 BATATA PALHA UN.TRADICIONAL........1X70G %AGR:  47,7600 BASE ST: *********37,76 VALOR ST: **********2,20",50,1,5.5
41,f00169905,f1600,"099 POP.MICRO UN.MANTEIGA............01X100G %AGR:  41,3500 BASE ST: *********18,74 VALOR ST: **********0,99",50,1,5.5
42,f00639005,f4177,001 CH.DP.PLUTONITA BABA DE BRUXA....01X200G ARCOR,50,1,8.99
43,f00638905,f4176,001 CH.DP.PLUTONITA CAB.ABOBORA......01X200G ARCOR,50,1,8.99
44,f00638805,f4175,001 CH.DP.PLUTONITA LINGUA ACIDA.....01X180G ARCOR,50,1,8.5
45,f00300050,f1873,"099 SUFRESH TP CX MACA BEBIDA........12X01LT %AGR:  00,0000 BASE ST: *********37,99 VALOR ST: **********6,08",50,12,7.99
46,f00015295,f1602,"099 POP.MICRO UN.COBERT CARAMELO.....01X160G %AGR:  41,3500 BASE ST: *********48,05 VALOR ST: **********2,53",50,1,8.99
47,f00882605,f174120,001 CH.DP.TORTUGUITA HUEVITOS.........1X300G ARCOR,50,12,2.2
48,f00070705,f72119,001 FERMENTO DP.FLE.INST.PROMOC...1X16X125GR FLEISCHMANN,50,16,7.99
49,f00876905,f025989,001 BL.B.TOFFE UN.LEITE...............1X500G ARCOR,50,1,20.99
50,f00880005,f3006217,001 CH.DP.TOPLINE GUARANA............1X20X6G ARCOR,50,20,0.99
51,f00455805,f578475,001 PIR.PCT.7BELO.FRAMBOESA..........01X600G ARCOR,50,1,15.99
52,f00220905,f2899,"099 POP.MICRO UN.C SAL...............01X100G %AGR:  41,3500 BASE ST: *********41,89 VALOR ST: **********2,21",50,1,5.99
53,f00845905,f8019,"099 POP.MICRO UN.MANT.CINEMA.........01X100G %AGR:  41,3500 BASE ST: *********41,89 VALOR ST: **********2,21",50,1,5.99
54,f00776605,f1409212,001 CH.DP.POOSH 7BELO ................1X200G ARCOR,50,1,6.99
55,f00767405,f0308213,001 CH.DP.POOSH HORTELA...............1X200G ARCOR,50,1,7.2
56,f00767302,f3006213,001 CH.DP.POOSH TUTTI FRUTTI..........1X200G ARCOR,50,1,6.99
57,f00825005,f4163,001 BL.UN.7BELO FRAMBOESA.............1X600G ARCOR,50,1,13.99
58,f00873305,f02689,"099 BL.B.TOFFE UN.CHOCOLATE...........1X500G %AGR:  00,0000 BASE ST: **********7,81 VALOR ST: **********1,41",50,1,20.99
59,f00851380,f0902221,001 V35   CX.VASSOURA VARRE FACIL......12X01 CONDOR,50,12,10.5
60,f01240105,f0902222,"099 NECTAR.UN.MARACUJA SHEFA...........1X1LT %AGR:  00,0000 BASE ST: *********16,08 VALOR ST: **********2,89",50,1,6.99
61,f01250105,f0902223,"099 NECTAR.UN.ABACAXI SHEFA............1X1LT %AGR:  00,0000 BASE ST: *********16,08 VALOR ST: **********2,89",50,1,6.99
62,f01210105,f0902224,"099 BEBIDA FRUTA.UN.PESSEGO SHEFA......1X1LT %AGR:  00,0000 BASE ST: *********15,66 VALOR ST: **********2,82",50,1,5.99
63,f00172525,f0902225,"099 TORT.CX.7BELO.FRAMBOESA.........24X15.5G %AGR:  00,0000 BASE ST: *********11,38 VALOR ST: **********2,05",50,24,1.5
64,f00106605,f0809211,001 MISTURA BOLO UN.AIPIM CREMOSO.....1X390G FLEISCHMANN,50,1,7.5
65,f00106735,f1108214,001 MISTURA BOLO UN.LARANJA CREMOSO...1X390G FLEISCHMANN,50,1,6.99
66,f00176305,f2303221,001 BATERIA.BOTAO CART 10 (CR2032 1B)....1X1 PANASONIC,50,1,8.2
67,f00981475,f72654,001 1677 PANO MULTIUSO.UN.MICROFIBRA.....1X1 CONDOR,50,1,8.99
68,f00172015,f2903222,"099 TORT.DP.BRANCA..................24X15.5G %AGR:  00,0000 BASE ST: *********11,39 VALOR ST: **********2,05",50,24,1.5
69,f00851745,f309,001 16    CX.ESC.P.LAVAR..............36X01  CONDOR,50,1,5.5
70,f00001932,f1905223,001 PILHA COMUM AA C4 (UM 3SHS)........01X04 PANASONIC,50,1,5.99
71,f00233405,f1705221,001 AZ OLIVA.UN.GALLO TU DIA A DIA...1X500ML GALLO,50,1,28.5
72,f2305/1,f72898,COXINHA FRANGO C/REQUEIJAO FRITA 400GR,50,1,11.5
73,f2306/1,f2105213,BOLINHA DE QUEIJO FRITA 400 GR,50,1,11.5
74,f2157/1,f2105213,PAO DE QUEIJO 25GR DELICIOLI 400GR 1 1,50,1,8.2
75,f003004000005,f72898,COXINHA FRANGO C/ REQUEIJAO FRITA 25G PCT 400G,50,1,11.99
76,f003005000003,f2105213,PAO DE QUEIJO DELICIOLI 25G PCT 400G,50,1,9.20
77,f003004000003,f72897,BOLINHA QUEIJO FRITA PCT 400G,50,1,11.99
