,Cod. Fornecedor,Cod. Prod,Nome,Margem,Quant. Frac,Pr. Venda
0,f2254,f1208218,ESCOVA DE DENTE BCOMBIO MACIA ADULTO 12DZ,50,1,2.99
1,f2297,f03699,QUEIJO RAL GROSSO AR VERDE FT 5X40GR CX25UN,50,1,4.5
2,f2397,f72562,QUEIJO RALADO FINO PARMARELA FT 5X40GR CX 25UN,50,1,4.2
3,f362,f72343,FARINHA DE MILHO CAMPO LARGO BRANCA 10X1KG,50,1,13.20
4,f1298,f27032320,FLOCAO DE MILHO MARATA 20X500G,50,1,4.50
5,f2592,f72712,TRINK SUCO DE ABACAXI PARATI 15X25GR,50,15,1.20
6,f2838,f2703231,TRINK SUCO DE ABACAXI/HORT PARATI 15X25GR,50,15,1.20
7,f2879,f2703232,TRINK SUCO DE GOIABA PARATI 15X25GR,50,15,1.20
8,f2761,f00053,TRINK SUCO DE GUARANA PARATI 15X25GR,50,15,1.20
9,f2826,f2703236,TRINK SUCO DE LAR/ACEROLA PARATI 15X25GR,50,15,1.20
10,f2833,f27032311,TRINK SUCO DE LARANJA BAHIA PARATI 15X25GR,50,15,1.20
11,f2758,f72710,TRINK SUCO DE LARANJA PARATI 15X25GR,50,15,1.20
12,f2756,f00052,TRINK SUCO DE LIMAO PARATI 15X25GR,50,15,1.20
13,f2831,f2703238,TRINK SUCO DE LIMONADA SUICA PARATI 15X25GR,50,15,1.20
14,f2762,f2703239,TRINK SUCO DE MANGA PARATI 15X25GR,50,15,1.20
15,f2760,f27032312,TRINK SUCO DE MARACUJA PARATI 15X25GR,50,15,1.20
16,f2759,f27032314,TRINK SUCO DE MORANGO 15X25GR,50,15,1.20
17,f2763,f27032313,TRINK SUCO DE PESSEGO PARATI 15X25GR,50,15,1.20
18,f2591,f72711,TRINK SUCO DE UVA PARATI 15X25GR,50,15,1.20
