,Cod. Fornecedor,Cod. Prod,Nome,Margem,Quant. Frac,Pr. Venda
0,f000559,f121930,VIGOR 80% 250G COM SAL,50,1,7.5
1,f000565,f833,VIGOR NATURAL TRADICIONAL 170G,50,1,3.5
2,f000569,f3497,VIGOR NATURAL LAR CEN MEL 170G,50,1,3.5
3,f000805,f6252,VIGOR REQUEIJAO CREMOSO 200G,50,1,10.5
4,f008804,f6367,VIGOR MIX BLACK WHITE MRG 165G,50,1,6.99
5,f102400,f2670,AVIACAO MANTEIGA TB C/SAL 200G,50,1,17.99
6,f000331,f830,VIGOR LEITE FERMENTADO 450G,50,6,1.99
7,f000447,f3394,VIGOR SOBREMESA CHOCOLATE 180G,50,1,6.2
8,f000476,f63589,VIGOR SOBREMESA CHOC BCO 180G,50,1,6.2
9,f000654,f837,VIGOR FLAN BAUNILHA 220G,50,1,6.2
10,f006674,f72785,VIGOR 800G LIQ MORANGO,50,1,14.5
11,f008270,f0701211,VIGOR NATURAL LAR CEN MEL 150G,50,1,4.2
12,f008275,f0701222,VIGOR NATURAL TRADICIONAL 150G,50,1,4.2
13,f008861,f6098,VIGOR MIX COLORBALL MRGO 165G,50,1,6.99
14,f330687,f2141,VIG BEBIDA DE MACA 200ML,50,1,2.99
15,f330688,f838,VIG BEBIDA DE UVA 200ML,50,1,2.99
16,f330690,f1484,VIG BEBIDA DE MORANGO 200ML,50,1,2.99
17,f330693,f1831,VIG BEBIDA DE LARANJA 200ML,50,1,2.99
18,f101900,f1328,AVIACAO MANTEIGA TB S/SAL 200G,50,1,17.99
19,f330689,f1483,VIG BEBIDA DE MARACUJA 200ML,50,1,2.99
20,f000205,f594,VIGOR RALADO PARMESAO 5X50G,50,5,7.2
21,f031672,f5854,VIGOR GREGO TRADICIONAL 100G,50,1,3.99
22,f031674,f6099,VIGOR GREGO FR VERMELHAS 100G,50,1,3.99
23,f031675,f6181,VIGOR GREGO FLOCOS 100G,50,1,3.99
24,f080010,f2905221,VIGOR GREGO FLOCOS 90G,50,1,3.99
25,f080011,f2905222,VIGOR GREGO MRG C/ BAUNIL 90G,50,1,3.99
26,f105500,f7635,AVIACAO MANTEIGA PT C/SAL 200G,50,1,18.5
27,f105700,f6182,AVIACAO MANTEIGA PT S/SAL 200G,50,1,18.5
28,f080013,f0307221,VIGOR GREGO FR VERMELHAS 90G,50,1,3.99
29,f080016,f0307222,VIGOR GREGO TRADICIONAL 90G,50,1,3.99
30,f767422,f0310221,ACHOCOLATADO VIGOR 200ML,50,1,2.5
31,f000354,f0812221,VIGOR FLAN BAUNILHA 190G,50,1,6.2
32,f008290,f2212221,VIGOR MIX BLACK WHITE MRG 140G,50,1,6.99
33,f008291,f2112227,VIGOR MIX COLORBALL MRGO 140G,50,1,6.99
