,Cod. Fornecedor,Cod. Prod,Nome,Margem,Quant. Frac,Pr. Venda
0,f07896423419283,f3056,CHOC MMS MINI TUBO 12X30G MMS,50,12,3.99
1,f07896423469837,f3680,CHOC MMS AMENDOIM 18X45G,50,18,4.2
2,f07896423401103,f72650,CHOC MMS CRISPY 18X35G,50,18,4.2
3,f02800003939783,f72213,ACUCAR CRISTAL CARAVELAS 10X1KG,50,10,5.99
4,f02800001687273,f7647,AGUA DE COCO KEROCOCO 27X200 ML,50,27,2.99
5,f07891024039854,f6816,CR DENT SORRISO LIMPEZA COMPL L12P9 70G,50,9,2.99
6,f02800039472803,f1636,AMAC ROUPA CONC DOWNY BRISA VERAO 12X500,50,12,13.99
7,f02800039638308,f1384,FILTRO PAPEL 3CORACOES 103 C/30 40X1,50,40,4.5
8,f02800000593391,f1374,ADOC LIQ ZEROCAL CICLA 12X100,50,12,6.99
9,f02800047307401,f72632,CAFE VACUO TRADICIONAL 3CORACOES 20X500G,30,20,0.0
10,f02700004996825,f427,DESINF PINHO SOL ORIGINAL 12X500ML,50,12,5.99
11,f02700007721745,f4188,DESINF PINHO SOL LAVANDA 12X500ML,50,12,5.99
12,f02700005005489,f1614,CAFE VACUO TRADICIONAL MELITTA 20X500G,30,20,0.0
13,f02800047654307,f204029,ACHOC PO NESCAU 30X370G,50,30,8.99
14,f02700008442533,f548,CREME DE LEITE NESTLE TP 27X200G,50,27,5.2
15,f02800003376090,f2063,LTE CONDENSADO PIRACANJ SEMI-DES 27X395G,50,27,9.2
16,f02800000733957,f5424,ACUCAR REFINADO ALTO ALEGRE 6X5KG,50,6,26.99
17,f02800041166004,f252525,CREME DE LEITE TIROL TP 27X200G,50,27,4.99
18,f02800045751503,f7279,SABON PROTEX VITAMINA E 12X85G,50,12,4.2
19,f02800045752203,f72206,SABON PROTEX LIMPEZA PROFUNDA 12X85G,50,12,4.2
20,f02800045752302,f1504225,SABON PROTEX AVEIA 12X85G,50,12,4.2
21,f02800046008903,f72440,SABON PROTEX CREAM 12X85G,50,12,4.2
22,f02800042894401,f2631,ISQUEIRO BIC MINI CARTELA 12UN,70,12,3.2
23,f02700004868351,f3038,ACHOC PO ORIG 24X 400G TODDY,50,24,9.2
24,f02700005034717,f74,AGUA SANITARIA QBOA 12X1L,50,12,4.5
25,f07891008367027,f72812,CHOC GAROTO BATON LTE 30UN,50,30,1.5
26,f02800000157845,f1574,ARROZ BRANCO T1 TIO JOAO 6X5KG,30,6,0.0
27,f02800003442412,f72892,AMAC ROUPA YPE ACONCHEGO 6X2L,50,6,11.99
28,f02800046880301,f72841,ERVILHA TRADELLI LATA 24X170G,50,24,3.5
29,f02800003443082,f3953,AMAC ROUPA YPE ACONCHEGO 24X500,50,24,3.99
30,f02800000733858,f960,ACUCAR REFINADO ALTO ALEGRE 10X1KG,50,10,5.99
31,f02800046568506,f72236,MILHO VERDE QUERO LT 24X170G,50,24,4.99
32,f02700006916289,f4550,AMIDO MIL MAIZENA 50X 200G,50,50,4.5
33,f02800046000709,f4262,LTE PO PIRACANJUBA INSTANT 25X400G,50,25,19.5
34,f07891008331028,f7748,CHOC BATON BCO 30UN GAROTO,50,30,1.5
35,f07891008114126,f978,BBOM SERENATA DE AMOR 825G,50,50,0.99
36,f07898915415018,f2906221,CREME DE LEITE TERRA VIVA 27X200G,50,27,4.2
37,f05601216120152,f72695,AZT E-V ANDORINHA VD 500ML,50,1,35.99
38,f07891042101670,f993344,AZT PURO GALLO VD 500ML,50,1,31.99
39,f02800046485902,f2333,SARDINHA EM OLEO COQUEIRO 54X125G,50,54,5.99
40,f02800003443266,f443,DET LIQ YPE NEUTRO 24X500ML,50,24,3.5
41,f02800003444423,f451,DET LIQ YPE COCO 24X500ML,50,24,3.5
42,f02800003444645,f72871,DET LIQ YPE CLEAR 24X500ML,50,24,3.5
43,f02800046272601,f72171,LAVA ROUPA LIQ OMO LAV PERF REF 12X900ML,50,12,16.99
44,f07897042005024,f1611211,CR TRAT SKALA COQUETEL FRUTAS 1KG,50,1,9.99
45,f07897042004904,f2653,CR TRAT SKALA CERAMIDAS 1KG,50,1,9.99
46,f07897042005062,f3059,CR TRAT SKALA BABOSA 1KG,50,1,9.99
47,f07897042012183,f6899,CR TRAT SKALA BOMBA VITAMINAS 1KG,50,1,9.99
48,f02800047808304,f315,SABAO BARRA YPE NEUT 10X5X180G,50,10,19.2
49,f02700001099567,f5639,HAV TRADIC PTO 43/44 6X1,50,6,16.2
50,f02800000763763,f5192,OLEO DE SOJA SOYA 20X900ML,50,20,10.99
51,f02800003078802,f547,CREME DE LEITE PIRACANJUBA TP 27X200G,50,27,4.5
52,f02700001309437,f121,MAC INST NISSIN G-CAIP 50X85G,50,50,2.99
53,f02800000134617,f1553,MAC INST NISSIN CNE 50X85G,50,50,2.99
54,f02800048059804,f0609223,BEBIDA LACTEA NESCAU CHOCOLATE 27X180ML,50,27,2.5
55,f00070330631212,f2135,ISQUEIRO BIC MAXI BANDEJA 50UN,80,50,5.5
56,f02700006262317,f149,DESINF PINHO SOL LIMAO 12X500ML,50,12,8.99
57,f07891021001960,f109,FILTRO PAPEL MELITTA 103 C/30 6X1,50,6,4.99
58,f02700001092537,f5638,HAV TRADIC PTO 41/42 6X1,50,6,16.2
59,f02700001020189,f4311,MAC INST MONICA CNE 50X85G,50,50,2.99
60,f02700001020561,f119,MAC INST GALIN 50X85G NISSIN,50,50,2.99
61,f02700001021179,f7670,MAC INST NISSIN MONI TOM 50X85G,50,50,2.99
62,f02800047982103,f2101221,ACHOCOLATADO PO ORIG TODDY 24X370G,50,24,8.99
63,f02700001092391,f4661,HAV TRADIC PTO 39/40 6X1,50,6,14.99
64,f02700001099321,f5260,HAV TRADIC AZUL 35/36 6X1,50,6,14.99
