,Cod. Fornecedor,Cod. Prod,Nome,Margem,Quant. Frac,Pr. Venda
0,f55209,72797,COCA COLA PET 2 L,35,6.0,9.2
1,f55459,65,FANTA  SABORES,50,6.0,8.99
2,f55609,67,COCA COLA VIDRO 1 L,20,12.0,3.99
3,f55380,246,SCHWEPPES TONICA LATA 350 ML,50,6.0,3.5
4,f55781,247,FANTA  PET 600ML,50,6.0,4.75
5,f118062,657,DEL VALLE MAIS NeCTAR DE LARANJA,50,6.0,7.99
6,f118069,667,SUCO DE UVA DEL VALLE,50,6.0,7.99
7,f118783,667,SUCO DE UVA DEL VALLE,50,6.0,7.99
8,f56350,693,SPRITE ORIGINAL LIMaO 600ML,50,6.0,4.6
9,f55460,694,REFRIGERANTE MISTO DE UVA 2 L,50,6.0,8.99
10,f55404,699,COCA  LATA ORIGINAL/ZERO,50,12.0,3.5
11,f55388,701,COCA  LATA 350 ML ZERO/ORIGINAL,50,12.0,3.25
12,f56008,703,FNTA LATA 350 ML,50,6.0,2.99
13,f55286,920,FANTA UVA LATA 350 ML,50,6.0,2.99
14,f56312,923,SCHWEPPES CITRS LATA 350 ML,50,6.0,3.5
15,f55935,924,COCA COLA PET 600ML,50,6.0,4.99
16,f55934,926,COCA COLA ZERO PET 600ML,50,6.0,4.99
17,f56271,933,REFRIGERANTE DE LIMaO SPRITE 2 L,50,6.0,7.99
18,f118463,1095,Monster energy lt 473 ml,50,6.0,8.5
19,f55569,1187,COCA COLA ZERO PET 2 L,35,6.0,8.99
20,f56102,1192,FANTA LARANJA 600ML,50,6.0,4.75
21,f118102,1660,KAPO MARACUJA 200 ML,50,12.0,2.1
22,f118104,1662,KAPO MORANGO 200 ML,50,12.0,2.1
23,f118106,1663,KAPO SABOR UVA 200 ML,50,12.0,2.2
24,f118067,1874,SUCO DEL VALLE SABOR PESSEGO 1 LT,50,6.0,7.99
25,f119135,2047,SUCO DEL VALLE SABOR FRUTAS,50,6.0,3.5
26,f55993,2343,COCA    PET,50,6.0,6.5
27,f119026,2426,ENERGETICO MONSTER ULTRA VIOLETA,50,6.0,8.25
28,f118065,2665,SUCO DE MARACUJA DEL VALLE 1 LT,50,6.0,7.99
29,f118100,2775,KAPO SABOR LARANJA 200 ML,50,12.0,2.1
30,f56269,3479,SPRITE LT 350 ML,50,6.0,2.99
31,f56074,4884,Fanta guarana lata 350 ml,50,12.0,2.99
32,f56071,4904,Fanta guarana  2 l,50,6.0,8.99
33,f118990,5255,MONSTER ENERY JUICE,50,6.0,8.85
34,f118269,6111,INOVE POWERRADE 500 ML UVA VERDE,50,,4.99
35,f55342,6539,FANTA RETORNAVEL 2L,50,9.0,5.99
36,f56326,6815,coca retornavel zero,20,9.0,5.99
37,f118753,6990,DEL VALE FRESH LARANJA UVA 1.5 L,50,6.0,4.25
38,f56287,7068,COCA  CAF 220ML,50,12.0,1.99
39,f118741,7106,Del valle fresh sabor limao 1.5 L,50,6.0,4.50
40,f55918,7114,COCA COLA PET 200ML,50,12.0,2.0
41,f55919,7127,Coca pet 200 ml zero,50,12.0,2.0
42,f56443,7127,Coca pet 200 ml zero,50,12.0,2.0
43,f56298,7127,Coca pet 200 ml zero,50,12.0,2.0
44,f118759,7197,cha mate leao 1.5,50,6.0,6.99
45,f56010,7596,KUAT 350 ML,50,6.0,2.7
46,f55477,7781,GUARAN KUAT 2 LITROS,50,6.0,6.99
47,f56314,8055,SCHWEPPES 1.5 L,50,6.0,9.5
48,f118795,60502,SUCO DEL VALLE FRUT 1L,50,6.0,4.35
49,f118461,72309,MONSTER ENERGY ULTRA 473 ML,50,6.0,8.25
50,f119002,72316,DV FRESH SABOR UVA 1.5 L,50,6.0,4.25
51,f119068,107215,DEL VALE KAPO MAcA 200ML,50,6.0,2.1
52,f55732,208211,REFRIGERANTE SPRITE ZERO 2L,50,6.0,6.99
53,f118952,2207211,SUCO SEED AMENDOAS 1L,50,6.0,12.99
54,f119145,2405211,SUCO DE SOJA ADES 1L,50,6.0,6.49
55,f119149,2405212,SUCO DE SOJA ADES 1L,50,6.0,6.50
56,f56366,2705211,FANTA LARANJA 2L RETOPRNVEL,50,9.0,5.99
57,f119167,2810214,DV ABACAXI 1L,50,6.0,7.99
58,f118786,2857452,SUCO del vale pessego,50,6.0,4.35
59,f118984,3009213,MONSTER ENERGY ABS ZERO 473ML,50,6.0,8.25
60,f56238,72350,SPRITE FRESH LIMAO PET 510ml 6U FL,50,6.0,3.99
61,f55568,2294,CC PET RET 2L 9,20,9.0,5.99
62,f55990,247,FANTA Uva 600ml 06Pack F.Liso,50,6.0,4.99
63,f118238,7640,I9 MARACUJA 500ML (6) CP,50,6.0,4.99
64,f119144,912216,ADES LARANJA TP 1L 6U CP,50,6.0,6.5
65,f119146,912215,ADES ORIGINAL TP 1L 6U CP,50,6.0,7.2
