,Cod. Fornecedor,Cod. Prod,Nome,Margem,Quant. Frac,Pr. Venda
0,f50941,f2990,PRESERV BLOWTEX SABOR AROMA MORANGO C 3,50,1,4.99
1,f50947,f72324,PRESERV BLOWTEX SABOR AROMA MOR CHOC C3,50,1,4.99
2,f16655,f6166,AGUA OXIGENADA 40VOL FARMAX 90ML,50,1,2.99
3,f1830,f1921,COND NEUTROX 1 CLASSICO 500ML,50,1,17.99
4,f63539,f2002226,LENCO UMED ANTISS BARUEL PROTECT 20UN,50,1,8.99
5,f1949,f3403,T.BEAUTY C KIT 2.11 PRETO AZULADO,50,1,15.99
6,f114,f2330,TAL BARUEL TENYS PE ORIGINAL PO 100G,50,1,11.2
7,f28840,f1464,MANTEIGA DE CACAU EVELIZE ROLL ON DY24UN,50,24,4.99
8,f53224,f2576,COND NEUTROX 1 CLASSICO 200ML NV,50,1,10.5
9,f7431,f5145,FR.INF CREMER PRAT JUMBO XXG 16UN,50,1,28.5
10,f16651,f5145,REMOVEDOR BASE ACET 100ML FARMAX,50,1,4.5
11,f1812,f2002,SAB FRANCIS CLASSICO LARANJA 90G,50,1,4.2
12,f53805,f2605221,TOALHA UMED DRY BABY PLUS 100UN ECONOMIC,50,1,13.5
