,Cod. Fornecedor,Cod. Prod,Nome,Margem,Quant. Frac,Pr. Venda
0,f7891079013243,f00336622,491273-LAMEN CREM COST MOL CHURRASCO  NISSIN          10X88GR,50,10,2.5
1,f7891079000229,f121,490003-LAMEN GALINHA CAIPIRA          NISSIN            50X85,50,50,2.5
2,f7891079000205,f1553,491002-LAMEN CARNE                    NISSIN            10X85,50,50,2.5
3,f7891079001028,f7670,490049-LAMEN TOMATE TM                NISSIN            50X85,50,50,2.2
4,f7891079001011,f4330,491047-LAMEN GALINHA TM               NISSIN            10X85,50,10,2.5
5,f7891079001004,f4311,491048-LAMEN CARNE TM                 NISSIN            10X85,50,10,2.2
6,f7891079000434,f4459,491205-MAC TALHARIM FRANGO            NISSIN            10X99,50,10,3.2
7,f7891079000441,f4793,491207-MAC TALH BROC MOLHO BRANCO     NISSIN            10X99,50,10,2.99
8,f7891079012772,f9072,491307-MAC TALH QUEIJO E CREME        NISSIN            10X99,50,10,3.2
9,f7891079013038,f7191,491187-CUP NOODLES GALINHA CAIPIRA    NISSIN            03X69,50,3,4.99
10,f7891079013052,f099272,491188-CUP NOODLES CARNE DEFUMADA     NISSIN            03X69,50,3,4.99
11,f7891079013106,f7193,491190-CUP NOOD YAKISSOBA TRADICIONAL NISSIN            03X70,50,3,4.5
12,f7891079013076,f333366,491194-CUP NOODLES FRUTOS DO MAR      NISSIN            03X65,50,3,4.5
13,f7891079013090,f2244,491196-CUP NOODLES LEGUMES C AZEITE   NISSIN            03X67,50,3,4.99
14,f7891079013427,f115018,491279-CUP NOODLES CURRY              NISSIN            03X70,50,3,4.99
15,f7891079013908,f1108217,491362-CUP NOODLES FEIJOADA           NISSIN            03X67,50,3,4.99
16,f7622210592729,f1393,361163-TRAKINAS ++ CHOCOLATE          MONDELEZ         06X126,50,6,2.99
17,f7622210592699,f2284,361164-TRAKINAS ++ MORANGO            MONDELEZ         06X126,50,6,2.99
18,f7622210661609,f72739,361660-CLUB SOC RECH QUEIJO C/TOMATE  MONDELEZ      01X4X26.5,50,1,5.5
19,f7622210754714,f5053,361285-COOKIE LAKA                    MONDELEZ         06X80G,50,6,5.2
20,f7895800112786,f186,351694-TRIDENT T2 MENTA SM            MONDELEZ          05X04,50,20,1.99
21,f7895800480540,f189,351696-TRIDENT T2 MELAN TWIST SM      MONDELEZ          05X04,50,20,1.99
22,f7895800480502,f188,351697-TRIDENT T2 MORANGO SM          MONDELEZ          05X04,50,20,1.99
23,f7622210560391,f101012,361150-TANG UVA L10P8                 MONDELEZ          10X25,50,10,1.5
24,f7622210762924,f983,361291-TANG LARANJA DOCINHA           MONDELEZ          15X25,50,15,1.5
25,f7622300861155,f192710,361441-TANG ABACAXI                   MONDELEZ          15X25,50,15,1.5
26,f7622300861193,f6287,361461-TANG LARANJA                   MONDELEZ          15X25,50,15,1.5
27,f7622300861926,f6274,361466-TANG LIMAO                     MONDELEZ          15X25,50,15,1.5
28,f7622300861964,f120416,361467-TANG MANGA                     MONDELEZ          15X25,50,15,1.5
29,f7622300861278,f134019,361469-TANG MARACUJA                  MONDELEZ          15X25,50,15,1.5
30,f7622210762962,f1252,361487-TANG GOIABA                    MONDELEZ          15X25,50,15,1.5
31,f7622300862084,f120829,361568-TANG TANGERINA                 MONDELEZ          15X25,50,15,1.5
32,f7622300861889,f6189,361576-TANG LARANJA MAMAO             MONDELEZ          15X25,50,15,1.5
33,f7896019602105,f2430,351213-OURO BRANCO 1KG                MONDELEZ        01X1000,50,50,1.2
34,f7622210566362,f7818,361427-BIS AO LEITE XTRA              MONDELEZ          24X45,50,24,3.2
35,f7622210936707,f7158,361350-LAKA OREO 90G                  MONDELEZ          17X90,50,17,6.99
36,f7622210961686,f72189,361357-MIX DIAMANTE NEGRO LAKA 90G    MONDELEZ          17X90,50,17,6.99
37,f7622300991388,f287,361582-SHOT 90G                       MONDELEZ          17X90,50,17,6.99
38,f7622300991517,f3202,361583-DIAMANTE NEGRO 90G             MONDELEZ          17X90,50,17,6.99
39,f7896019602006,f941,351203-SONHO DE VALSA 1KG             MONDELEZ        01X1000,50,50,1.2
40,f7622300807399,f3943,351881-BIS AO LEITE                   MONDELEZ         05X126,50,5,6.99
