,Cod. Fornecedor,Cod. Prod,Nome,Margem,Quant. Frac,Pr. Venda
0,,,,,,
1,f000125,f1035,"LINGUICA TIPO CALABRESA COZ DEF PCT 3kg(1,2)",40.0,1.0,24.5
2,f069978,f7628,PRESUNTO COZIDO FATIADO 200g(2),50.0,5.0,8.99
3,f070912,f0548,"QUEIJO MUSSARELA FATIADO 200g(1,2,4)",50.0,5.0,16.2
4,f000237,f3072,"IOG MORANGO PCT 1000g(2,3)",50.0,1.0,10.2
5,f026622,f3886,"IOG MORANGO GRF 850g(2,3)",50.0,1.18,11.99
6,f027218,f7759,"IOG 4 MORANGO 2 COCO BDJ 540g(2,3)",50.0,1.85,6.99
7,f032964,f3436,"IOG MORANGO GRF 170g(2,3)",50.0,5.88,2.99
8,f070916,f1035,"LINGUICA TOSCANA PCT 5kg(1,2)",50.0,1.0,19.99
9,f045421,f0001,PRESUNTO RETANGULAR S CAPA GORD COZIDO(2),70.0,1.0,33.5
10,f013464,f1532,DOCE DE LEITE TRADICIONAL 400g(2),50,2.5,9.99
