,Cod. Prod,Nome,Margem,Pr. Venda
0,f1607213,BATATA PALHA EXTRA FINA 15 X 250G,50,10.2
1,f3502,BATATA PALHA 250G,50,10.2
2,f3756,BATATA PALHA 80G,50,3.99
3,f3501,CANUDOS PARA RECHEAR,50,11.99
4,f72225,MASSA LASANHA 500G,50,8.5
5,f7073,MASSA PASTEL DISCO 200G,50,3.99
6,f72226,MASSA PASTEL DISCO 400G,50,6.2
7,f3493,MASSA PASTEL DISCO 500G,50,7.99
8,f3755,MASSA PASTEL ROLO 1KG,50,11.2
9,f10142,NHOQUE DE BATATA 500G,40,8.2
10,f4078,MASSA PASTEL ROLO 500G,50,7.2
11,f3768,PALITO DE POLVILHO 20X80G,50,5.2
12,f0511211,ROSCA DE POLVILHO 20X80G,50,5.2
13,f4554,MASSA PIZZA 160G,50,5.50
14,f0701221,TALHARIM AMABENE 300G 15X300G,50,8.99
0,f173916,GUARANA CHP ANTARCTICA PET 2L CAIXA C/6,50,8.2
1,f2950,RED BULL BR LATA 250ML SIX PACK NPAL .,50,9.99
2,f2408211,GATORADE UVA PET 500ML SIXPACK,50,4.99
3,f3752,SUKITA PET 2L CAIXA C/6,50,5.99
4,f72347,PEPSI COLA PET 600ML CX12 NPAL,50,4.2
5,f6804,PEPSI COLA PET 200ML SH C/12,50,1.5
6,f10093,GUARANA CHP ANTARCTICA PET 600ML CX12 NPAL,50,4.2
7,f3754,GUARANA CHP ANTARCTICA PET 200ML SH C/12,50,1.5
8,f2126,GATORADE TANGERINA PET 500ML SIXPACK,50,4.99
9,f3751,GUARANA CHP ANTARCTICA GFA VD 1L,20,3.5
10,f61,H2OH LIMAO C/GAS PET 500ML CAIXA C/12,50,3.99
11,f2101225,RED BULL BR LATA 355ML FOUR PACK .,50,11.99
0,f173916,GUARANA CHP ANTARCTICA PET 2L CAIXA C/6,50,8.2
1,f2950,RED BULL BR LATA 250ML SIX PACK NPAL .,50,9.99
2,f2408211,GATORADE UVA PET 500ML SIXPACK,50,4.99
3,f3752,SUKITA PET 2L CAIXA C/6,50,5.99
4,f72347,PEPSI COLA PET 600ML CX12 NPAL,50,4.2
5,f6804,PEPSI COLA PET 200ML SH C/12,50,1.5
6,f10093,GUARANA CHP ANTARCTICA PET 600ML CX12 NPAL,50,4.2
7,f3754,GUARANA CHP ANTARCTICA PET 200ML SH C/12,50,1.5
8,f2126,GATORADE TANGERINA PET 500ML SIXPACK,50,4.99
9,f3751,GUARANA CHP ANTARCTICA GFA VD 1L,20,3.5
10,f61,H2OH LIMAO C/GAS PET 500ML CAIXA C/12,50,3.99
11,f2101225,RED BULL BR LATA 355ML FOUR PACK .,50,11.99
0,f3056,CHOC MMS MINI TUBO 12X30G MMS,50,3.99
1,f3680,CHOC MMS AMENDOIM 18X45G,50,4.2
2,f72650,CHOC MMS CRISPY 18X35G,50,4.2
3,f72213,ACUCAR CRISTAL CARAVELAS 10X1KG,50,5.99
4,f7647,AGUA DE COCO KEROCOCO 27X200 ML,50,2.99
5,f6816,CR DENT SORRISO LIMPEZA COMPL L12P9 70G,50,2.99
6,f1636,AMAC ROUPA CONC DOWNY BRISA VERAO 12X500,50,11.99
7,f1384,FILTRO PAPEL 3CORACOES 103 C/30 40X1,50,4.5
8,f4159,"099 AGUA DE COCO.TP.CX.SOCOCO.......24X200ML %AGR:  00,0000 BASE ST: *********33,50 VALOR ST: **********6,03",50,2.99
9,f2553,001 FLOCOCO.UN.SOCOCO................01X100G SOCOCO,50,7.99
10,f544,001 COCO RALADO.UN.SOCOCO.............01X50G SOCOCO,50,4.2
11,f0812211,"099 MULTI USO.UN.UAU FLORAL..........1X500ML %AGR:  00,0000 BASE ST: **********5,43 VALOR ST: **********0,98",50,4.99
12,f0812212,"099 MULTI USO.UN.UAU.ROSAS.E.SEDUC...1X500ML %AGR:  00,0000 BASE ST: **********5,43 VALOR ST: **********0,98",50,4.99
13,f0812213,"099 LIMP.PESADA.UN.PER ROS E SEDUC...1X500ML %AGR:  00,0000 BASE ST: **********7,14 VALOR ST: **********1,29",50,6.2
14,f5495,"099 PERFUME.UN.UAU LAVANDA E CONFOR..1X500ML %AGR:  00,0000 BASE ST: **********7,52 VALOR ST: **********1,35",50,5.20
