,Cod. Fornecedor,Cod. Prod,Nome,Margem,Quant. Frac,Pr. Venda
0,f000000001000030733,f72397,LTE COCO MENINA VD 200ML,50,24,4.5
1,f000000001000033094,f547,CR LTE PIRACANJUBA TP 200G,50,27,4.99
2,f000000001000035592,f1608221,LTE COND GLORIA TP 395G,50,27,9.2
3,f000000001000070548,f1608222,LTE COND BAO DE MINAS TP 395G,50,27,7.5
4,f000000001000075770,f5195,AZEITONA VALE FERTIL VERDE FAT SCH 120G,50,24,5.5
5,f000000001000105642,f1608226,MOLHO QUERO TOMATE TRADICIONAL SCH 240G,50,28,1.99
6,f000000001000016999,f0809221,"BALAO S ROQUE CLASS T6,5 C/50 UN, VM, .",50,1,7.5
7,f000000001000021583,f0809226,"BALAO S ROQUE T07 50UN, PT EBANO, .",50,1,11.99
8,f000000001000031534,f1514,ARROZ BURITI PARB PCT 1KG,50,10,5.5
9,f000000001000032373,f3698,S C BEL PT 1KG (95334),50,12,23.2
10,f000000001000100421,f4915,"BALAO SAO ROQUE 6,5L BASIC C/25 PT UN",50,1,7.5
11,f000001000048223001,f2891,"BALAO S ROQUE CLASS T6,5 C/50 UN, RS, .",50,1,7.5
12,f000001000048223002,f5433,"BALAO S ROQUE CLASS T6,5 C/50 UN, BC, .",50,1,7.5
13,f000001000048223003,f2096,"BALAO S ROQUE CLASS T6,5 C/50 UN, AM, .",50,1,7.5
14,f000001000048223004,f0809224,"BALAO S ROQUE CLASS T6,5 C/50 UN, VE, .",50,1,7.5
15,f000001000048223005,f4899,"BALAO S ROQUE CLASS T6,5 C/50 UN, AZ, .",50,1,7.5
16,f000001000048223006,f0809225,"BALAO S ROQUE CLASS T6,5 C/50 UN, ST, .",50,1,7.5
17,f000001000048224002,f0809227,"BALAO S ROQUE T07 50UN, SORT IMP, .",50,1,11.99
18,f000001000048224004,f0809229,"BALAO S ROQUE T07 50UN, VM QUEN IMP, .",50,1,11.99
19,f000001000048224006,f0809228,"BALAO S ROQUE T07 50UN, AM CITR IMP, .",50,1,11.99
20,f000001000118629001,f08092210,"REFRESC TANG 18G, LJA, .",50,18,1.5
21,f000001000118629002,f08092211,"REFRESC TANG 18G, GUARANA, .",50,18,1.5
22,f000001000118629005,f08092212,"REFRESC TANG 18G, MARAC, .",50,18,1.5
23,f000001000118629013,f08092213,"REFRESC TANG 18G, UVA, .",50,18,1.5
24,f000000001000031488,f816,VINAGRE CHEMIM ALCOOL FC 900ML,50,12,2.50
25,f000000001000040137,f72369,"SUCO CAMPO LARGO UVA INTEG PET 1,35L",50,6,14.50
26,f000001000057148001,f941,"WAFER LACTA 20G, SONHO VALSA, .",50,50,1.50
27,f000001000057148002,f2430,WAFER LACTA OURO BRANCO 20G,50,50,1.50
