,Cod. Fornecedor,Cod. Prod,Nome,Margem,Quant. Frac,Pr. Venda
0,f000000000000063311,1524,PAO FORMA INTEGRAL PANCO,50,1.0,8.2
1,f000000000000010605,4739,BISNAGUINHA PANCO,50,1.0,6.3
2,f000000000000058041,7807,PANQUINHO MORANGO 70G,50,1.0,2.99
3,f000000000000063342,10726,BOLO PANCO GOTAS DE CHOCOLATE 300G,50,1.0,7.5
4,f000000000000010100,72720,PAO DE LEITE 500 GR PANCO,50,1.0,7.2
5,f000000000000058058,72721,PAQUINHO DOCE DE LEITE 70 GR,50,1.0,2.99
6,f000000000000059321,72725,BOLO ABACAXI 300 GR PANCO,50,1.0,7.5
7,f000000000000010059,162902,PAO DE FORMA PREMIUM PANCO,50,1.0,6.99
8,f000000000000056627,197324,PANQUINHO BAUNILHA,50,1.0,2.6
9,f000000000000059406,197325,PANQUINHO CHOCOLATE C/BAUNILHA,50,1.0,2.99
10,f000000000000059390,197326,PANQUINHO CHOCOLATE,50,1.0,2.99
11,f000000000000058867,306211,PAO INTEGRAL 15 GRAOS 380G,50,1.0,9.99
12,f000000000000067906,306212,PAO INTEGRAL CASTANHAS BRASILEIRAS 380G,50,1.0,9.99
13,f000000000000010209,306214,PAO DE MILHO PANCO 500G,50,1.0,6.99
14,f000000000000059413,688529,PANQUINHO BRIGADEIRO,50,1.0,2.99
15,f000000000000059314,2105211,PANCO BOLO 300G,50,1.0,7.5
16,f000000000000067913,3006218,PAO PANCO INTEGRAL CASTANHA DO PA E LINHA,50,1.0,9.99
