,Cod. Fornecedor,Cod. Prod,Nome,Margem,Quant. Frac,Pr. Venda
0,f99721,f2731,SALAME ITALIANO FAT100G C/5UN CX30UN P/A PCT 5UN,50,1,13.5
1,f97866,f0002,QUEIJO MUSSARELA INT PC+-4KG CX+-24KG A PC+- 4KG,70,1,41.99
2,f99228,f1609211,MORT BOLOGNA OURO FAT PCT4X200G CX20UNPA PCT 4UN,50,1,9.5
3,f1144,f0009,MORT BOLOGNA OURO PC 4KG CX 8KG P CX 8KG,84,1,29.99
4,f99909,f5187,LASANHA BOLONHESA UN 600G CX 6UN P/A UN 600G,50,1,12.99
5,f99911,f2707214,LASANHA CALABRESA UN 600G CX6UN P/A UN 600 G,50,1,12.99
6,f99910,f72346,LASANHA FGO C/BACON UN 600G CX6UN P/A UN 600G,50,1,12.99
7,f99205,f2313,LASANHA 4 QUEIJOS UN 600G CX 6UNP/A UN 600G,50,1,13.99
8,f99204,f7806,LASANHA BOLONHESA UN 600G CX 6UNP/A UN 600G,50,1,13.99
9,f99271,f3286,LASANHA FGO MOLHO SUGO UN 600G CX 6UNP/A UN 600G,50,1,13.99
10,f99698,fGENERICO,LASANHA PEITO PERU DEF UN600G CX 6UN P/A UN 600G,50,1,13.99
11,f94908,f2311,SANDUICHE X-PICANHA 145G PC3UN CX18 P/A PCT 3UN,50,1,8.2
12,f94907,f3974,SANDUICHE X-FRANGO 145G PC3UN CX18 P/A PCT 3UN,50,1,8.2
13,f103466,f1108212,SANDUICHE X-CHEDDAR 145G PC3UN CX18 P/A PCT 3UN,50,1,8.2
14,f103467,f1108211,SANDUICHE X-BURGUER BBQ 145G PC3UNCX18PA PCT 3UN,50,1,8.2
15,f94906,f3972,SANDUICHE X-BACON 145G PC3UN CX18 P/A PCT 3UN,50,1,8.2
16,f96293,f1182,MARGARINA QUALY C/SAL UN 250G CX 24UN P CX 24UN,40,1,5.99
17,f99750,f7854,STEAK EMPANADO 100G CX 45UN P CX 45UN,50,1,2.50
18,f99067,f2360,STEAK EMPANADO 100G CX 45UN P CX 45UN,50,1,2.50
19,f104273,f2907211,BATATA CG 10MM PCT 400G CX 25UN P CX 25UN,50,1,6.99
21,f104043,f72685,APRESUNTADO FAT 150GR PCT5UN CX70UN PA PCT 5UN,50,1,4.99
