,Cod. Fornecedor,Cod. Prod,Nome,Margem,Quant. Frac,Pr. Venda
0,f12354550,f996622,CHAMYTO GO 100 G IOGURTE LIQ MORANGO,40,1,2.99
1,f12354539,f9933221,CHAMYTO GO 100 G IOGURTE LIQ VITAMINA DE FRUTAS (CX/24),40,1,2.99
2,f12382903,f7212,CHAMYTO IOGURTE MOR+CER COLORIDO 130 G (CX/24),40,1,4.99
3,f12342863,f117,CHAMYTO LEITE FERMENTADO BIG 720 G(CX/21),40,6,1.99
4,f12277332,f092818,CHANDELLE CHOCOLATE 180 G (CX/24),40,1,5.99
5,f12342563,f2800,NESTLE 170 G IOG NATURAL CENOURA E LARANJA (CX/28),40,1,2.99
6,f12342555,f2799,NESTLE 170 G IOG NATURAL INTEGRAL,40,1,2.99
8,f12405990,f7182,NESTLE GREGO 90 G FRUTAS VERMELHAS (CX/24),40,1,2.99
9,f12334185,f1139,NESTLE IOGURTE MORANGO 170 G (CX/24),40,1,2.99
10,f12334360,f72245,NESTLE IOGURTE MORANGO 900 G (CX/12),40,1,11.99
