,Cod. Fornecedor,Cod. Prod,Nome,Margem,Quant. Frac,Pr. Venda
0,f1000043,10111,BEBIDA LACTEA FERM. MORANGO 900GR,40,1,4.5
1,f1000052,38265,MANTEIGA EXTRA C/SAL TIROL 200G,40,1,10.99
2,f1000054,10112,NATA TIROL PT 300G,40,1,10.5
3,f1000131,1523,QUEIJO MUSSARELA FATIADO 150 GR ATM,40,1,8.99
4,f1000132,392652,QUEIJO PRATO FATIADO 150GR ATM,40,1,8.99
5,f1000133,659832,DOCE DE LEITE 350 GR,50,1,7.99
6,f1000147,6994,BEBIDA LACT. GARRAFA COCO 830GR,40,1,6.99
7,f1000148,6533,BEBIDA LACT. GARRAFA MORANGO 830GR,40,1,6.99
8,f1000149,6974,BEBIDA LACT. GARRAFA FRUTAS E CEREAIS 830GR,40,1,6.99
9,f1000099,9030,REQUEIJAO CREMOSO COPO PLASTICO 180GR,40,1,6.5
10,f1000181,392817,LEITE UHT DESNATADO TIROL C/ TAMPA ROSCA 1000ML,10,1,5.99
11,f1000074,10119,LEITE UHT INTEGRAL TIROL C/ TAMPA ROSCA 1000ML,30,1,5.20
