,Cod. Fornecedor,Cod. Prod,Nome,Margem,Quant. Frac,Pr. Venda
0,f00190064,f101516,"099 1175 ATUM GDC SOLIDO NATURAL.....1X170GR %AGR:  00,0000 BASE ST: *********16,14 VALOR ST: **********2,91",50,1,13.5
1,f00315104,f72542,001 DESINF LYSOFORM BRUTO SUAVE(0180)1X500ML SCJ,50,1,6.99
2,f00561664,f812214,003 GLADE AUTOMATIC RF LEMBRA INF....1X269ML SCJ,50,1,35.99
3,f00581514,f5415,001 RAID MULTI BASE AGUA.............1X420ML SC,50,1,13.99
4,f00631072,f4130,"099 M MS CHOCOLATE AO LEITE........1X18X45GR %AGR:  00,0000 BASE ST: *********24,40 VALOR ST: **********4,39",50,18,4.2
5,f00667194,f2636,001 BAYGON ACAO TOTAL...............01X360ML SC,50,1,10.99
6,f01321054,f812215,001 DAMASCO SECO TURCO LA VIOLETERA.01X170GR LA,50,1,18.99
7,f00021002,f2180,001 SUCO MAGUARY PET MARACUJA.......12X500ML EBBA,50,12,7.99
8,f00279034,f2317,022 7102 CHA LEAO FUZE CAPIM CIDRE.01X10 SAQ LEAO,50,1,3.99
9,f00462584,f2707,"099 PEDIGREE DRY RACAS PEQUENAS...(9196).1X1 %AGR:  00,0000 BASE ST: *********33,87 VALOR ST: **********6,10",50,1,29.2
10,f01611074,f0608215,000 BISC TEENS SNACK CHOCOLATE.........01X80 MARILAN,50,1,4.2
11,f01615154,f72540,000 WAFFER MARILAN BRIGADEIRO..........01X80 MARILAN,50,1,1.99
12,f01975024,f6197,"099 MOLHO PARMEGIANA QUERO SACHE(2688)01X340 %AGR:  00,0000 BASE ST: **********6,54 VALOR ST: **********1,18",50,1,2.99
13,f01975034,f646,"099 MOLHO MANJERICAO QUERO SACHE(7171)01X340 %AGR:  00,0000 BASE ST: **********6,54 VALOR ST: **********1,18",50,1,2.99
14,f01975044,f220908,"099 MOLHO PIZZA QUERO SACHE(7188).....01X340 %AGR:  00,0000 BASE ST: **********6,54 VALOR ST: **********1,18",50,1,2.99
15,f01976174,f4967,001 FEIJAO CARIOCA QUERO.(1605).......01X340 HEINZ,50,1,6.99
16,f01976184,f4152,001 FEIJAO PRETO QUERO.(1551).........01X340 HEINZ,50,1,6.99
17,f01628004,f2906216,000 PETISCO PIT STOP CEB SALSA MARILAN..1X80 MARILAN,50,1,3.5
18,f00465374,f3242,"099 WHISKAS DRY ADULTO CARNE...........1X500 %AGR:  00,0000 BASE ST: *********25,17 VALOR ST: **********4,53",50,1,21.99
19,f00466354,f1440,"099 WHISKAS SACHE AD ATUM.............1X85GR %AGR:  00,0000 BASE ST: *********26,60 VALOR ST: **********4,79",50,1,3.5
20,f00466454,f2312213,"099 WHISKAS SACHE AD CORDEIRO.........1X85GR %AGR:  00,0000 BASE ST: *********24,00 VALOR ST: **********4,32",50,1,3.99
