,Cod. Fornecedor,Cod. Prod,Nome,Margem,Quant. Frac,Pr. Venda
0,f000000000012031213,f72588,CAFE TM 3C EF VAC 20X500G,30,2,20.2
1,f000000000012035027,f7143,CHOCOLATTO 3C REF 5S 12X300G,30,1,6.99
2,f000000000012146000,f0510224,CAFE C/LEITE IGUA PT 24X200G,30,1,7.2
3,f000000000012031005,f2427,CAFE TM 3C EF VAC 20X250G,30,4,10.2
4,f000000000012031023,f2072,CAFE TM 3C TRAD VAC 20X250G,30,4,10.2
5,f000000000012144002,f0510223,CAFE CAPP IGUA CLAS PT 24X200G,30,1,9.99
6,f000000000012142008,f72148.,CAFE SOL IGUA TRAD L60 P50 REF 24X60G,30,1,4.2
7,f000000000012068210,f2610221,FRISCO MORANGO/IOGURT SACHE MP 10X15X25G,50,15,1.20
8,f000000000012142013,f8049,CAFE SOL IGUA GRAN CLAS VD 12X200G,30,1,19.99
9,f000000000012142001,f2610223,CAFE SOL IGUA EF REF 24X50G,30,1,5.50
10,f000000000012034081,f2610224,BEBIDA LACT 3C CAPP CHOC PET 6X260ML,50,6,8.20
