,Cod. Fornecedor,Cod. Prod,Nome,Margem,Quant. Frac,Pr. Venda
0,f07896423419283,f3056,CHOC MMS MINI TUBO 12X30G MMS,50,12,3.99
1,f07896423469837,f3680,CHOC MMS AMENDOIM 18X45G,50,18,4.2
2,f07896423401103,f72650,CHOC MMS CRISPY 18X35G,50,18,4.2
3,f02800003939783,f72213,ACUCAR CRISTAL CARAVELAS 10X1KG,50,10,5.99
4,f02800001687273,f7647,AGUA DE COCO KEROCOCO 27X200 ML,50,27,2.99
5,f07891024039854,f6816,CR DENT SORRISO LIMPEZA COMPL L12P9 70G,50,9,2.99
6,f02800039472803,f1636,AMAC ROUPA CONC DOWNY BRISA VERAO 12X500,50,12,11.99
7,f02800039638308,f1384,FILTRO PAPEL 3CORACOES 103 C/30 40X1,50,40,4.5
8,f02800000593391,f1374,ADOC LIQ ZEROCAL CICLA 12X100,50,12,5.99
9,f02800047307401,f72632,CAFE VACUO TRADICIONAL 3CORACOES 20X500G,50,20,20.99
10,f02700004996825,f427,DESINF PINHO SOL ORIGINAL 12X500ML,50,12,5.99
11,f02700007721745,f4188,DESINF PINHO SOL LAVANDA 12X500ML,50,12,5.99
12,f02700005005489,f1614,CAFE VACUO TRADICIONAL MELITTA 20X500G,50,20,22.99
13,f02800047654307,f204029,ACHOC PO NESCAU 30X370G,50,30,7.5
14,f02700008442533,f548,CREME DE LEITE NESTLE TP 27X200G,50,27,5.2
15,f02800003376090,f2063,LTE CONDENSADO PIRACANJ SEMI-DES 27X395G,50,27,7.50
